Type,Era,Language,Geography,survey,objectID,mediaID,omekaID,Title,URL
"Diagram (Flowchart, Schema etc.)",Mittelalter,de,Basel,1,abb37030,m37030_1,13129,"Wahlverfahren gemäss der 'Handfeste', um 1260",https://forschung.stadtgeschichtebasel.ch/items/abb37030.html#m37030_1
Photograph (Archaeological Site),20. Jahrhundert,de,Dreiland/NW-Switzerland/Upper Rhine,,abb30849,m30849,11625,"Mauerreste der villa rustica (Riehen-Landauerhof), 2.–3. Jh. n. Chr.",https://forschung.stadtgeschichtebasel.ch/items/abb30849.html#m30849
Map,20. Jahrhundert,de,Basel,,abb92771,m92771,12964,Übersichtsplan über die Hauptstandorte von sozialen Gruppen der Bevölkerung der Stadt Basel,https://forschung.stadtgeschichtebasel.ch/items/abb92771.html#m92771
Map,20. Jahrhundert,de,Dreiland/NW-Switzerland/Upper Rhine,,abb93459,m93459,12388,Projektion der zu rodenden Fläche im Hardwald auf das Stadtzentrum Basels,https://forschung.stadtgeschichtebasel.ch/items/abb93459.html#m93459
Drawing (Historical Drawing),Mittelalter,de,Dreiland/NW-Switzerland/Upper Rhine,,abb33441,m33441,11803,Vogelschaukarte von Riehen,https://forschung.stadtgeschichtebasel.ch/items/abb33441.html#m33441
Art,Mittelalter,de,Basel,,abb37696,m37696,12103,"Manessische Liederhandschrift (Codex Manesse), um 1300, Turnierszene mit Walter von Klingen, fol. 52r",https://forschung.stadtgeschichtebasel.ch/items/abb37696.html#m37696
Art,Mittelalter,la,Europe,,abb37644,m37644,11964,"‹Vita Mathildis› des Donizo, um 1115, Miniatur mit Darstellung des Gangs nach Canossa, fol. 49v.",https://forschung.stadtgeschichtebasel.ch/items/abb37644.html#m37644
Drawing (Archaeological Reconstruction),Mittelalter,de,Dreiland/NW-Switzerland/Upper Rhine,,abb33472,m33472,11801,Rekonstruktionsversuch des Kirchhofs von Riehen im 11. Jahrhundert,https://forschung.stadtgeschichtebasel.ch/items/abb33472.html#m33472
Drawing (Historical Drawing),19. Jahrhundert,fr,Basel,,abb89606,m89606,12322,Vue prise sur la terrasse derrière la Cathédrale de Basle (dite Pfalz),https://forschung.stadtgeschichtebasel.ch/items/abb89606.html#m89606
Art,19. Jahrhundert,de,Basel,,abb91713,m91713,12881,"Wandmalereien im ersten Basler Centralbahnhof, Detail: Fortuna mit geflügeltem Rad",https://forschung.stadtgeschichtebasel.ch/items/abb91713.html#m91713
Drawing (Archaeological Reconstruction),Mittelalter,de,,,abb29025,m29025,11712,Rekonstruktionszeichnung eines frühmittelalterlichen Grubenhauses mit Webstuhl,https://forschung.stadtgeschichtebasel.ch/items/abb29025.html#m29025
Drawing (Archaeological Reconstruction),Mittelalter,de,Basel,,abb40938,m40938,11866,Birsigmündung um 1250 n. Chr.,https://forschung.stadtgeschichtebasel.ch/items/abb37748.html#m37748
"Diagram (Flowchart, Schema etc.)",Mittelalter,de,Switzerland and Neighbouring Countries,1,abb39198,m39198_1,13120,Textilhandel des Kaufmanns Ulrich Meltinger,https://forschung.stadtgeschichtebasel.ch/items/abb39198.html#m39198_1
